InsCode,DEven,PClosing,PDrCotVal,ZTotTran,QTotTran5J,QTotCap,PriceMin,PriceMax,PriceYesterday,PriceFirst
35796086458096255,20010328,19491.00,19491.00,5,2103,40975286.00,19482.00,19491.00,19482.00,19482.00
35796086458096255,20010407,19491.00,19491.00,1,740,14423340.00,19491.00,19491.00,19491.00,19491.00
35796086458096255,20010408,19492.00,19492.00,9,4600,89671500.00,19492.00,19497.00,19491.00,19497.00
35796086458096255,20010410,19520.00,19520.00,4,2100,40981200.00,19512.00,19520.00,19492.00,19512.00
35796086458096255,20010411,19755.00,19755.00,5,10300,203377500.00,19701.00,19755.00,19520.00,19701.00
35796086458096255,20010415,19783.00,19783.00,3,1463,28942529.00,19783.00,19783.00,19755.00,19783.00
35796086458096255,20010416,19789.00,19789.00,2,2600,51441400.00,19784.00,19789.00,19783.00,19784.00
35796086458096255,20010417,19789.00,19789.00,1,400,7915600.00,19789.00,19789.00,19789.00,19789.00
35796086458096255,20010422,19851.00,19851.00,1,350,6947850.00,19851.00,19851.00,19789.00,19851.00
35796086458096255,20010423,20049.00,20049.00,4,800,16029400.00,20000.00,20049.00,19851.00,20000.00
35796086458096255,20010501,20249.00,20249.00,1,1000,20249000.00,20249.00,20249.00,20049.00,20249.00
35796086458096255,20010513,20451.00,20451.00,3,943,19285293.00,20451.00,20451.00,20249.00,20451.00
35796086458096255,20010530,20655.00,20655.00,6,1100,22720500.00,20655.00,20655.00,20451.00,20655.00
35796086458096255,20010704,21655.00,21655.00,3,2800,60698000.00,21655.00,21687.00,20655.00,21687.00
35796086458096255,20010707,22737.00,22737.00,23,26538,603394506.00,22737.00,22737.00,21655.00,22737.00
35796086458096255,20010708,23873.00,23873.00,9,4312,102940376.00,23873.00,23873.00,22737.00,23873.00
35796086458096255,20010812,25500.00,25500.00,16,7288,177778960.00,23000.00,25500.00,23873.00,23000.00
35796086458096255,20010813,26137.00,26137.00,3,6200,160173200.00,25777.00,26137.00,25500.00,25777.00
35796086458096255,20010814,26790.00,26790.00,15,44200,1184118000.00,26790.00,26790.00,26137.00,26790.00
35796086458096255,20010815,27459.00,27459.00,8,11815,319508650.00,26800.00,27459.00,26790.00,27459.00
35796086458096255,20010819,27733.00,27733.00,5,1400,38826200.00,27733.00,27733.00,27459.00,27733.00
35796086458096255,20010820,28010.00,28010.00,3,3000,84030000.00,28010.00,28010.00,27733.00,28010.00
35796086458096255,20010827,28010.00,28010.00,7,920,25770400.00,28010.00,28012.00,28010.00,28011.00
35796086458096255,20010828,28290.00,28290.00,6,2010,56528100.00,28011.00,28290.00,28010.00,28290.00
35796086458096255,20010829,28290.00,28290.00,13,3753,106170170.00,28288.00,28290.00,28290.00,28290.00
35796086458096255,20010901,28290.00,28290.00,6,2000,56579400.00,28289.00,28290.00,28290.00,28289.00
35796086458096255,20010902,28290.00,28290.00,5,8099,229120710.00,28290.00,28290.00,28290.00,28290.00
35796086458096255,20010903,28550.00,28550.00,9,4140,116917500.00,28214.00,28550.00,28290.00,28214.00
35796086458096255,20010904,28549.00,28549.00,3,650,18557250.00,28549.00,28550.00,28550.00,28550.00
35796086458096255,20010905,28834.00,28834.00,4,2435,69682115.00,28549.00,28834.00,28549.00,28549.00
35796086458096255,20010908,29122.00,29122.00,5,26119,760637518.00,29122.00,29122.00,28834.00,29122.00
35796086458096255,20010910,29413.00,29413.00,6,20800,611790400.00,29413.00,29413.00,29122.00,29413.00
35796086458096255,20010911,29707.00,29707.00,3,11600,344429000.00,29420.00,29707.00,29413.00,29707.00
