InsCode,Symbol,DEven,PriceFirst,PriceMax,PriceMin,PClosing,QTotTran5J
46348559193224090,فولاد,20070311,1900,1938,1900,1900,468077431
46348559193224090,فولاد,20070312,1938,1938,1938,1938,100041000
46348559193224090,فولاد,20070313,1976,1976,1915,1973,126270939
46348559193224090,فولاد,20070314,1934,1966,1934,1934,26705128
46348559193224090,فولاد,20070317,1896,1927,1896,1898,14877283
46348559193224090,فولاد,20070319,1872,1909,1861,1885,12428574
46348559193224090,فولاد,20070325,1881,1922,1880,1894,4151051
46348559193224090,فولاد,20070326,1927,1931,1898,1900,2604320
46348559193224090,فولاد,20070327,1909,1935,1902,1904,1737471
46348559193224090,فولاد,20070328,1925,1930,1906,1906,1466522
46348559193224090,فولاد,20070331,1904,1920,1873,1905,818231
46348559193224090,فولاد,20070403,1900,1900,1867,1900,2705358
46348559193224090,فولاد,20070404,1887,1896,1862,1896,1649990
46348559193224090,فولاد,20070407,1862,1888,1859,1881,5050280
46348559193224090,فولاد,20070408,1852,1900,1849,1879,3002511
46348559193224090,فولاد,20070409,1889,1913,1874,1879,692951
46348559193224090,فولاد,20070410,1897,1917,1862,1883,1315311
46348559193224090,فولاد,20070411,1876,1880,1851,1880,1767488
46348559193224090,فولاد,20070414,1869,1875,1843,1875,1975101
46348559193224090,فولاد,20070415,1848,1867,1838,1867,2879638
46348559193224090,فولاد,20070416,1838,1862,1831,1862,1890750
46348559193224090,فولاد,20070417,1847,1880,1826,1861,1368173
46348559193224090,فولاد,20070418,1877,1898,1853,1867,3024167
46348559193224090,فولاد,20070421,1903,1904,1883,1883,5473667
46348559193224090,فولاد,20070422,1920,1920,1888,1888,1773788
46348559193224090,فولاد,20070423,1925,1925,1880,1889,826566
46348559193224090,فولاد,20070424,1900,1912,950,1890,3831874711
46348559193224090,فولاد,20070425,1900,1903,1854,1890,1796465
46348559193224090,فولاد,20070428,1890,1890,1853,1884,2176594
46348559193224090,فولاد,20070429,1865,1873,1847,1873,3633565
46348559193224090,فولاد,20070430,1857,1910,1853,1884,5581299
46348559193224090,فولاد,20070501,1895,1900,1864,1884,1387680
46348559193224090,فولاد,20070502,1889,1890,1848,1881,1524106
