<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20090218,000000,20.950250213985,20.950250213985,20.950250213985,20.950250213985,330851245,20090218
20090221,000000,20.96574709169,21.353169034332,20.826275192339,21.058728357924,335334212,20090221
20090222,000000,21.18270337957,21.322175278921,21.027734602513,21.027734602513,8435464,20090222
20090223,000000,21.198200257275,21.213697134981,21.089722113336,21.105218991041,8570222,20090223
20090225,000000,21.120715868747,21.167206501864,20.950250213985,21.105218991041,7434309,20090225
20090228,000000,21.089722113336,21.105218991041,20.950250213985,20.96574709169,3924844,20090228
20090301,000000,21.012237724807,21.027734602513,20.593822026754,20.826275192339,23696125,20090301
20090302,000000,20.950250213985,21.18270337957,20.593822026754,21.07422523563,10528791,20090302
20090303,000000,21.027734602513,21.089722113336,21.012237724807,21.027734602513,2650575,20090303
20090304,000000,21.043231480219,21.105218991041,21.043231480219,21.043231480219,2304953,20090304
20090307,000000,21.120715868747,21.120715868747,21.089722113336,21.089722113336,3667884,20090307
20090308,000000,21.105218991041,21.105218991041,21.012237724807,21.089722113336,5236516,20090308
20090309,000000,21.105218991041,21.151709624158,21.027734602513,21.07422523563,4797840,20090309
20090310,000000,21.105218991041,21.120715868747,20.950250213985,21.105218991041,3438096,20090310
20090311,000000,21.120715868747,21.151709624158,21.105218991041,21.105218991041,2111176,20090311
20090314,000000,21.120715868747,21.136212746453,21.120715868747,21.120715868747,4000145,20090314
20090316,000000,21.136212746453,21.151709624158,21.07422523563,21.07422523563,3937907,20090316
20090317,000000,21.136212746453,21.136212746453,21.120715868747,21.120715868747,3998308,20090317
20090318,000000,21.120715868747,21.167206501864,21.120715868747,21.151709624158,2191144,20090318
20090325,000000,21.151709624158,21.415156545155,21.151709624158,21.415156545155,1916886,20090325
20090328,000000,21.384162789743,21.663106588445,21.353169034332,21.663106588445,2749128,20090328
20090329,000000,21.89555975403,21.89555975403,21.89555975403,21.89555975403,91020,20090329
20090330,000000,21.911056631736,21.911056631736,21.911056631736,21.911056631736,936159,20090330
20090331,000000,22.00403789797,22.00403789797,21.508137811389,21.523634689094,7348064,20090331
20090404,000000,21.849069120913,22.236491063555,21.709597221562,21.802578487796,6876866,20090404
20090405,000000,21.957547264853,22.081522286498,21.585622199917,21.64760971074,3553767,20090405
20090406,000000,21.880062876325,22.019534775676,21.384162789743,21.725094099268,4831781,20090406
20090407,000000,21.570125322211,21.818075365502,21.43065342286,21.709597221562,4456751,20090407
20090408,000000,21.492640933683,21.663106588445,21.384162789743,21.446150300566,877368,20090408
20090411,000000,21.616615955328,21.709597221562,21.260187768098,21.43065342286,2748606,20090411
20090412,000000,21.399659667449,21.461647178272,21.151709624158,21.151709624158,2243981,20090412
20090413,000000,21.275684645804,21.818075365502,21.275684645804,21.306678401215,3952220,20090413
20090414,000000,21.508137811389,21.709597221562,21.337672156626,21.694100343857,4852993,20090414
20090415,000000,21.570125322211,21.880062876325,21.570125322211,21.833572243208,2314256,20090415
20090418,000000,21.864565998619,21.880062876325,21.771584732385,21.802578487796,2126749,20090418
20090419,000000,21.880062876325,22.251987941261,21.725094099268,21.725094099268,8852608,20090419
20090420,000000,22.174503552732,22.453447351434,22.11251604191,22.453447351434,11066992,20090420
20090421,000000,22.918353682604,22.918353682604,22.918353682604,22.918353682604,1033815,20090421
20090422,000000,22.701397394725,22.840869294076,22.174503552732,22.174503552732,2300464,20090422
20090425,000000,22.3604660852,22.3604660852,21.988541020264,22.159006675027,5274735,20090425
20090426,000000,22.143509797321,22.329472329789,21.725094099268,21.725094099268,1213875,20090426
20090427,000000,22.035031653381,22.174503552732,21.756087854679,22.019534775676,2173117,20090427
20090428,000000,22.066025408793,22.484441106846,21.756087854679,21.818075365502,2105602,20090428
20090429,000000,22.190000430438,22.190000430438,21.818075365502,21.849069120913,858625,20090429
20090502,000000,21.880062876325,22.174503552732,21.771584732385,21.771584732385,1675253,20090502
