<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20120208,000000,139.25413649902,139.25413649902,139.25413649902,139.25413649902,248387500,20120208
20120212,000000,146.19548532757,146.19548532757,140.96277621066,146.19548532757,75848282,20120212
20120213,000000,147.26338514735,149.18560482295,138.93376655308,140.00166637286,23435322,20120213
20120214,000000,140.96277621066,141.38993613857,138.07944669726,140.64240626473,12352753,20120214
20120215,000000,140.00166637286,141.38993613857,136.9047568955,137.75907675133,9402675,20120215
20120218,000000,137.75907675133,141.28314615659,137.75907675133,138.8269765711,10763775,20120218
20120219,000000,138.8269765711,140.21524633681,135.40969714781,136.69117693155,8287222,20120219
20120220,000000,133.59426745419,135.62327711177,131.88562774255,132.41957765244,7255902,20120220
20120318,000000,154.84547386777,165.41768208357,149.71955473284,160.71892287655,50477765,20120318
20120324,000000,165.63126204752,165.63126204752,165.63126204752,165.63126204752,780221,20120324
20120325,000000,173.85409065981,173.85409065981,173.85409065981,173.85409065981,1107443,20120325
20120326,000000,179.72753966859,182.50407920001,168.72817152488,182.50407920001,35810039,20120326
20120327,000000,186.8824684611,187.8435782989,185.81456864132,187.8435782989,6474176,20120327
20120328,000000,196.92072676701,196.92072676701,196.92072676701,196.92072676701,468277,20120328
20120402,000000,202.79417577579,205.57071530721,194.5713471635,197.66825664086,44896673,20120402
20120403,000000,194.46455718152,195.42566701932,190.83369779428,190.83369779428,12919026,20120403
20120404,000000,187.09604842506,193.28986737977,186.66888849714,190.51332784834,12630819,20120404
20120407,000000,189.01826810066,199.48368633448,189.01826810066,197.77504662283,11614226,20120407
20120408,000000,202.90096575777,207.17256503688,197.56146665888,200.76516611821,22050791,20120408
20120409,000000,206.21145519908,209.84231458632,202.90096575777,203.43491566766,6497534,20120409
20120410,000000,210.37626449621,215.50218363114,210.16268453226,214.11391386543,15758626,20120410
20120411,000000,213.57996395554,223.61822226146,212.51206413577,223.61822226146,11247915,20120411
20120414,000000,229.59846125221,231.41389094583,225.00649202717,231.41389094583,42588864,20120414
20120415,000000,242.52004907152,242.52004907152,240.27745944999,242.52004907152,54534304,20120415
20120416,000000,244.01510881921,245.61695854888,230.45278110803,231.73426089176,25315913,20120416
20120417,000000,234.9379603511,238.14165981043,224.25896215332,234.08364049528,12988892,20120417
20120418,000000,234.40401044121,243.05399898141,234.40401044121,243.05399898141,26599215,20120418
20120421,000000,245.61695854888,248.82065800821,233.12253065748,234.9379603511,6825525,20120421
20120422,000000,233.76327054934,234.9379603511,229.59846125221,231.0935209999,4886382,20120422
20120423,000000,230.66636107199,230.66636107199,220.09415285619,223.08427235157,14799724,20120423
20120424,000000,216.78366341488,230.66636107199,213.68675393752,222.65711242366,6179016,20120424
20120428,000000,223.19106233354,223.19106233354,212.51206413577,212.51206413577,12686141,20120428
20120429,000000,208.9879947305,212.40527415379,203.43491566766,203.43491566766,6441177,20120429
20120430,000000,203.00775573974,208.9879947305,200.76516611821,206.31824518106,8112389,20120430
20120501,000000,207.17256503688,209.52194464039,200.87195610019,201.83306593799,4328093,20120501
20120502,000000,200.76516611821,202.90096575777,197.56146665888,201.72627595601,2869438,20120502
20120505,000000,201.83306593799,202.79417577579,194.35776719955,195.95961692921,3383765,20120505
20120506,000000,196.70714680306,205.99787523512,196.60035682108,203.86207559557,3594916,20120506
20120507,000000,202.90096575777,205.57071530721,198.62936647866,200.76516611821,2785501,20120507
20120508,000000,202.79417577579,202.79417577579,198.62936647866,198.62936647866,1648458,20120508
20120509,000000,198.20220655074,201.72627595601,194.46455718152,198.4157865147,4350120,20120509
20120512,000000,198.62936647866,198.62936647866,187.30962838901,187.30962838901,8680780,20120512
20120513,000000,186.02814860528,194.5713471635,181.64975934419,192.22196755999,3181276,20120513
20120514,000000,192.22196755999,199.69726629843,192.22196755999,199.69726629843,6715011,20120514
20120515,000000,205.89108525314,205.89108525314,198.73615646063,198.73615646063,4007663,20120515
20120516,000000,202.36701584788,202.36701584788,195.10529707339,196.4935668391,1971969,20120516
20120519,000000,197.56146665888,197.56146665888,191.15406774021,195.10529707339,1047287,20120519
20120520,000000,196.17319689317,202.79417577579,194.5713471635,199.16331638855,2077283,20120520
20120526,000000,181.54296936221,188.27073822681,176.41705022728,186.34851855121,8305595,20120526
20120527,000000,186.8824684611,190.62011783032,184.21271891166,189.44542802857,2051791,20120527
