InsCode,InstrumentID,LatinSymbol,LatinName,CompanyCode,Symbol,Name,CIsin,DEven,Flow,LSoc30,CGdSVal,CGrValCot,YMarNSC,CComVal,CSecVal,CSoSecVal,YVal,SymbolOriginal
22129017544200,IRR1AZIN0101,AZIX1,Saipa Azin-R,AZIN,خاذينح,ح . سايپاآذين‌,IRR1AZIN0106,20200516,1,سايپاآذين‌,A,N2,NO,5,34,3499,400,
94378630649293,IRB4SO110441,O11Q1,SOV.GMR110SP250622,SO11,اراد110,مرابحه عام دولت110-ش.خ040401,IRB4SO110443,20221212,2,مرابحه عام دولت110-ش.خاص0404,A,17,NO,4,69,6945,706,
114312662654155,IRO3SAIZ0001,SAIZ1,SepehrSaderat Inv.,SAIZ,وسپهر,سرمايه گذاري مالي سپهرصادرات,IRO3SAIZ0007,20230429,2,سرمايه گذاري گروه سپهرصادرات,A,1Z,NO,1,56,5699,303,
140099686459313,IRR1SHQZ0101,SHQX1,Ghazvin Glass-R,SHQZ,كقزويح,ح . شيشه‌ قزوين‌,IRR1SHQZ0104,20100411,1,شيشه‌ قزوين‌,A,N2,NO,5,54,5410,400,
143187001116603,IRO6MELZ96C1,TM021,Melli Mortgage1803,MELZ,تملي612,تسهيلات مسكن بانك ملي-اسفند96,IRO6MELZ96C8,20210630,2,تسهيلات مسكن بانك ملي ايران,A,17,NO,4,59,5910,307,
160349129184882,IRR1MSHK0101,MSHX1,Melli Agro.-R,MSHK,شمليح,ح . ملي‌ شيمي‌ كشاورز,IRR1MSHK0105,20081126,1,ملي‌ شيمي‌ كشاورز,A,N4,NO,4,44,4421,400,
163301738200990,IRO3MSZ90121,MK181,Bank Maskan,MSKZ,تسه9012,امتياز تسهيلات مسكن اسفندماه90,IRO3MSZ90122,20180721,2,بانك مسكن,A,Z1,NO,4,59,5910,303,
180774784936665,IRO1KAFF0001,KAFF1,Kaf,KAFF,شكف,كف‌,IRO1KAFF0004,20140311,1,كف‌,A,N2,NO,5,44,4424,300,
204092872752957,IRO3SDFZ0001,SDFZ1,Sanati Doodeh Fam,SDFZ,شصدف,صنعتي دوده فام,IRO3SDFZ0007,20230429,2,صنعتي دوده فام,A,1Z,NO,1,44,4429,303,
32784604551756100,IRO3YZTZ0001,YZTZ1,Yazd Tire,YZTZ,پيزد,مجتمع صنايع لاستيك يزد,IRO3YZTZ0007,20230429,2,مجتمع صنايع لاستيك يزد,A,Z1,NO,3,25,2511,303,
244106582239634,IRR1SRMA0101,SRMX1,Sarma Afarin-R,SRMA,لسرماح,ح . سرما آفرين‌,IRR1SRMA0105,20171213,1,سرما آفرين‌,A,N2,NO,5,29,2919,400,
284184891779325,IRR7KFRP0101,KFRX1,Siman Shargh PR-R,KFRP,كفرآورح,ح. فرآورده هاي سيمان شرق,IRR7KFRP0109,20180721,4,فرآورده هاي سيمان شرق,A,P1,NO,7,54,5495,404,
45452485689363000,IRO7MLIP0001,MLIP1,MiddleEast LifeINS,MLIP,بخاور-ق1,بيمه زندگي خاورميانه,IRO7MLIP0008,20200606,4,بيمه زندگي خاورميانه,A,P1,NO,7,66,6601,309,بخاور
318005355896147,IRO7PFSP0001,PFSP1,Fasa Petro.,PFSP,فسا,پتروشيمي فسا,IRO7PFSP0001,20230429,4,پتروشيمي فسا,A,P1,NO,7,44,4411,309,
347802782032969,IRO1VITN0001,VITN1,Vitana,VITN,غويتا-ق2,ويتانا,IRO1VITN0007,20081126,1,ويتانا,A,N4,NO,4,42,4241,300,غويتا
350097973599097,IRO6MSKZ9751,MK951,Mortgage Right9705,MSKZ,تسه9705,امتياز تسهيلات مسكن مرداد97,IRO6MSKZ9759,20210630,2,بانك مسكن,A,17,NO,4,59,5910,307,
3681415009616010,IRO1LYZD0001,LYZD1,Yazd Tire,LYZD,پيزد-ق2,مجتمع‌صنايع‌لاستيك‌يزد,IRO1LYZD0003,20091103,1,مجتمع‌صنايع‌لاستيك‌يزد,A,N2,NO,5,29,2915,300,پيزد
357086043812735,IRO3Z0090001,Z0091,Folad Torbat,Z009,فولاد تربت,فولاد تربت حيدريه,IRO3Z0090002,20180721,2,فولاد تربت حيدريه,A,Z1,NO,5,27,2710,303,
5599691633622260,IRO3MLIZ0001,MLIZ1,MiddleEast LifeINS,MLIZ,بخاور,بيمه زندگي خاورميانه,IRO3MLIZ0000,20230429,2,بيمه زندگي خاورميانه,A,1Z,NO,1,66,6601,303,
