Symbol,DEven,PriceFirst,PriceMax,PriceMin,PClosing,QTotTran5J
FEOLAD,20080816,5268.00,5268.00,3197.00,5268.00,51175707
FEOLAD,20080818,5110.00,5110.00,5110.00,5110.00,3227
FEOLAD,20080819,4957.00,4957.00,4957.00,4957.00,9220
FEOLAD,20080820,4809.00,4809.00,4809.00,4809.00,13758
FEOLAD,20080823,4665.00,4808.00,4665.00,4808.00,29835
FEOLAD,20080824,4664.00,4664.00,4664.00,4664.00,3636
FEOLAD,20080825,4525.00,4525.00,4525.00,4525.00,62874
FEOLAD,20080826,4390.00,4390.00,4390.00,4390.00,12339022
FEOLAD,20080827,4259.00,4307.00,4259.00,4307.00,4004606
FEOLAD,20080830,4178.00,4286.00,4178.00,4286.00,1018509
FEOLAD,20080831,4158.00,4286.00,3197.00,4286.00,15099302
FEOLAD,20080901,4158.000,4244.000,4158.000,4244.000,2068216
FEOLAD,20080902,4117.000,4117.000,4117.000,4117.000,8392414
FEOLAD,20080903,4050.00,4100.00,3994.00,4014.00,32810518
FEOLAD,20080906,4050.00,4050.00,3894.00,3918.00,7179745
FEOLAD,20080907,3801.00,3801.00,3801.00,3801.00,18985288
FEOLAD,20080908,3701.00,3730.00,3687.00,3689.00,7663666
FEOLAD,20080913,3197.00,3689.00,3197.00,3689.00,4206058
FEOLAD,20081026,2200.00,2500.00,2101.00,2242.00,18805891
FEOLAD,20081027,2309.000,2309.000,2265.000,2265.000,2283436
FEOLAD,20081028,2332.00,2332.00,2270.00,2270.00,513331
FEOLAD,20081029,2338.00,2338.00,2274.00,2274.00,347203
FEOLAD,20081101,2342.000,2342.000,2284.000,2284.000,928933
FEOLAD,20081102,2352.000,2352.000,2290.000,2290.000,567740
FEOLAD,20081103,2358.00,2358.00,2303.00,2303.00,1171614
FEOLAD,20081104,2372.00,2372.00,2335.00,2371.00,24550601
FEOLAD,20081105,2442.00,2442.00,2403.00,2441.00,7856015
FEOLAD,20081108,2479.00,2497.00,2368.00,2392.00,17691718
FEOLAD,20081109,2356.000,2357.000,2321.000,2321.000,15080798
FEOLAD,20081110,2257.00,3197.00,2252.00,2291.00,32677258
FEOLAD,20081111,2260.00,2301.00,2230.00,2281.00,4106443
FEOLAD,20081112,2334.000,2349.000,2295.000,2295.000,1424695
FEOLAD,20081115,2363.00,2363.00,2335.00,2362.00,6432097
FEOLAD,20081116,2420.00,3197.00,2392.00,2405.00,49061554
FEOLAD,20081117,2460.00,2477.00,2344.00,2441.00,9742739
FEOLAD,20081118,2368.00,2433.00,2368.00,2433.00,724838
FEOLAD,20081119,2361.00,2429.00,2361.00,2429.00,338012
FEOLAD,20081122,2357.00,2416.00,2357.00,2416.00,1144621
FEOLAD,20081123,2344.00,3197.00,2344.00,2415.00,24826947
FEOLAD,20081124,2343.00,2414.00,2343.00,2414.00,68916
FEOLAD,20081125,2342.00,2413.00,2342.00,2413.00,66654
FEOLAD,20081126,2341.00,2412.00,2341.00,2412.00,126348
FEOLAD,20081129,2340.00,3197.00,2340.00,2411.00,38410161
FEOLAD,20081130,2339.000,2410.000,2339.000,2410.000,100010
FEOLAD,20081201,2338.000,2409.000,2338.000,2409.000,128676
FEOLAD,20081202,2337.00,2337.00,2337.00,2337.00,28553
FEOLAD,20081203,2267.00,2267.00,2267.00,2267.00,23652
FEOLAD,20081206,2199.00,2199.00,2199.00,2199.00,9974
FEOLAD,20081207,2134.00,2134.00,2134.00,2134.00,6000
FEOLAD,20081208,2070.00,2070.00,2070.00,2070.00,48901
FEOLAD,20081210,2008.00,2008.00,2008.00,2008.00,6338991
FEOLAD,20081213,1948.000,2000.000,1948.000,1948.000,23379522
FEOLAD,20081214,1901.00,1940.00,1890.00,1891.00,7434850
FEOLAD,20081215,1851.00,1929.00,1835.00,1880.00,2980938
FEOLAD,20081216,1862.000,1927.000,1862.000,1889.000,1611583
FEOLAD,20081220,1907.000,1945.000,1907.000,1901.000,1797719
FEOLAD,20081221,1957.00,1958.00,1950.00,1916.00,1710452
FEOLAD,20081222,1973.00,1973.00,1973.00,1917.00,127741
FEOLAD,20081223,1974.00,1974.00,1974.00,1920.00,284531
FEOLAD,20081224,1977.00,1977.00,1977.00,1927.00,784277
FEOLAD,20081227,1984.000,1984.000,1940.000,1981.000,24240389
FEOLAD,20081228,2029.00,2029.00,1940.00,1978.00,929314
FEOLAD,20081229,1919.00,1959.00,1919.00,1943.00,4468611
FEOLAD,20081230,1919.000,1928.000,1897.000,1929.000,3167280
FEOLAD,20081231,1915.00,1980.00,1892.00,1914.00,3703804
FEOLAD,20090103,1929.00,1971.00,1920.00,1943.00,3585874
FEOLAD,20090104,1997.00,2001.00,1989.00,1953.00,1149500
FEOLAD,20090105,2011.00,2011.00,2000.00,1960.00,850604
FEOLAD,20090110,2010.00,2018.00,1954.00,1966.00,3871454
FEOLAD,20090111,1942.00,1966.00,1908.00,1959.00,1561626
FEOLAD,20090112,1960.00,1960.00,1910.00,1956.00,530360
FEOLAD,20090113,1920.00,1947.00,1902.00,1948.00,1062679
FEOLAD,20090114,1929.00,1980.00,1924.00,1950.00,1384200
FEOLAD,20090117,1977.00,1997.00,1953.00,1961.00,1947009
FEOLAD,20090118,1980.00,1995.00,1978.00,1965.00,810076
FEOLAD,20090119,1993.000,2023.000,1993.000,1971.000,763741
FEOLAD,20090120,2030.000,2030.000,2030.000,1974.000,369255
FEOLAD,20090121,2033.00,2033.00,2033.00,1976.00,256034
FEOLAD,20090124,2035.00,2035.00,1971.00,2030.00,48081745
FEOLAD,20090125,2029.00,2040.00,1983.00,2021.00,2462301
FEOLAD,20090126,1980.00,2010.00,1969.00,2009.00,2426369
FEOLAD,20090127,2007.00,2068.00,2000.00,2015.00,1567840
FEOLAD,20090128,2037.00,2071.00,2030.00,2020.00,750261
FEOLAD,20090131,2026.000,2070.000,2016.000,2022.000,3959110
FEOLAD,20090201,2035.00,2058.00,2007.00,2019.00,2295002
FEOLAD,20090202,2001.00,2001.00,1985.00,2013.00,2003361
FEOLAD,20090203,2000.000,2000.000,1980.000,2010.000,592113
FEOLAD,20090204,1990.000,1990.000,1955.000,2004.000,1056928
FEOLAD,20090207,1968.00,1990.00,1960.00,2001.00,706712
FEOLAD,20090208,1960.00,1960.00,1941.00,1964.00,3910587
FEOLAD,20090209,1908.00,1927.00,1906.00,1959.00,547101
FEOLAD,20090211,1917.00,1918.00,1905.00,1956.00,366283
FEOLAD,20090214,1901.000,1938.000,1898.000,1948.000,1024897
FEOLAD,20090215,1900.00,1900.00,1890.00,1944.00,426530
FEOLAD,20090217,1886.00,1886.00,1886.00,1926.00,2001406
FEOLAD,20090218,1869.000,1869.000,1869.000,1921.000,504867
FEOLAD,20090221,1864.00,1864.00,1864.00,1919.00,232140
FEOLAD,20090222,1862.00,1864.00,1862.00,1872.00,5210335
FEOLAD,20090223,1816.00,1816.00,1816.00,1864.00,870253
FEOLAD,20090225,1809.00,1809.00,1809.00,1864.00,41389
FEOLAD,20090228,1809.00,1809.00,1809.00,1863.00,99111
FEOLAD,20090301,1808.00,1808.00,1808.00,1858.00,624798
FEOLAD,20090302,1803.00,1803.00,1803.00,1856.00,175720
FEOLAD,20090303,1801.00,1801.00,1801.00,1856.00,38647
FEOLAD,20090304,1801.00,1801.00,1801.00,1825.00,3554297
FEOLAD,20090307,1771.00,1771.00,1771.00,1795.00,3558576
FEOLAD,20090308,1742.00,1750.00,1742.00,1764.00,3757233
FEOLAD,20090309,1770.000,1770.000,1712.000,1759.000,847381
FEOLAD,20090310,1790.000,1811.000,1759.000,1770.000,1506646
FEOLAD,20090311,1794.00,1819.00,1761.00,1772.00,449321
FEOLAD,20090314,1817.00,1825.00,1817.00,1780.00,907624
FEOLAD,20090316,1833.00,1833.00,1828.00,1782.00,223189
FEOLAD,20090317,1835.00,1835.00,1835.00,1787.00,556929
FEOLAD,20090318,1794.00,1800.00,1732.00,1754.00,1011596
FEOLAD,20090325,1755.00,1806.00,1755.00,1754.00,243715
FEOLAD,20090328,1806.000,1806.000,1806.000,1755.000,118532
FEOLAD,20090329,1807.00,1807.00,1807.00,1757.00,295248
FEOLAD,20090330,1809.00,1809.00,1809.00,1759.00,282481
FEOLAD,20090331,1811.000,1811.000,1800.000,1769.000,1235850
FEOLAD,20090404,1822.000,1822.000,1822.000,1770.000,171143
FEOLAD,20090405,1823.00,1823.00,1823.00,1771.00,84635
FEOLAD,20090406,1824.00,1824.00,1824.00,1775.00,526299
FEOLAD,20090407,1828.00,1828.00,1828.00,1780.00,557191
FEOLAD,20090408,1833.00,1833.00,1833.00,1782.00,264082
FEOLAD,20090411,1835.000,1835.000,1835.000,1782.000,30692
FEOLAD,20090412,1835.00,1835.00,1835.00,1790.00,912092
FEOLAD,20090413,1843.00,1843.00,1800.00,1810.00,2601161
FEOLAD,20090414,1802.000,1830.000,1770.000,1809.000,652863
FEOLAD,20090415,1801.00,1811.00,1780.00,1808.00,455277
FEOLAD,20090418,1800.00,1800.00,1754.00,1766.00,9219676
FEOLAD,20090419,1790.00,1818.00,1775.00,1791.00,3133968
FEOLAD,20090420,1844.00,1844.00,1844.00,1799.00,908001
FEOLAD,20090421,1852.00,1852.00,1852.00,1799.00,48560
FEOLAD,20090422,1852.00,1852.00,1806.00,1810.00,1674153
FEOLAD,20090425,1847.00,1847.00,1756.00,1806.00,1163156
FEOLAD,20090426,1798.00,1820.00,1778.00,1805.00,1009201
FEOLAD,20090427,1800.00,1801.00,1779.00,1803.00,815360
FEOLAD,20090428,1799.00,1803.00,1760.00,1799.00,5914954
FEOLAD,20090429,1790.00,1790.00,1763.00,1797.00,571927
FEOLAD,20090502,1770.000,1798.000,1756.000,1794.000,645319
FEOLAD,20090503,1779.000,1779.000,1741.000,1785.000,1358340
FEOLAD,20090504,1750.00,1838.00,1735.00,1792.00,2080737
FEOLAD,20090505,1845.00,1845.00,1845.00,1797.00,586112
FEOLAD,20090506,1850.00,1850.00,1850.00,1797.00,49452
FEOLAD,20090509,1850.00,1850.00,1850.00,1798.00,77187
FEOLAD,20090510,1851.00,1851.00,1851.00,1799.00,135580
FEOLAD,20090511,1852.00,1852.00,1852.00,1822.00,2709097
FEOLAD,20090512,1876.000,1876.000,1876.000,1843.000,2515005
FEOLAD,20090513,1898.00,1898.00,1898.00,1869.00,2954338
FEOLAD,20090516,1940.00,1940.00,1801.00,1907.00,7053500
FEOLAD,20090517,1959.000,1959.000,1855.000,1894.000,5012489
FEOLAD,20090518,1917.000,1917.000,1838.000,1873.000,2462168
FEOLAD,20090519,1871.00,1929.00,1871.00,1882.00,1969515
FEOLAD,20090520,1883.00,1935.00,1880.00,1885.00,1324885
FEOLAD,20090523,1941.00,1941.00,1898.00,1891.00,1574071
FEOLAD,20090524,1930.00,1940.00,1880.00,1884.00,6692340
FEOLAD,20090525,1900.000,1900.000,1855.000,1865.000,11212616
FEOLAD,20090526,1895.00,1895.00,1842.00,1870.00,23277384
FEOLAD,20090527,1868.00,1924.00,1841.00,1875.00,1809850
FEOLAD,20090530,1910.000,1912.000,1860.000,1877.000,3388959
FEOLAD,20090531,1882.00,1910.00,1865.00,1882.00,8457775
FEOLAD,20090601,1928.00,1938.00,1890.00,1903.00,29855571
FEOLAD,20090602,1960.00,1960.00,1960.00,1929.00,2887355
FEOLAD,20090603,1986.00,1986.00,1986.00,1986.00,9365525
FEOLAD,20090606,2045.00,2045.00,2009.00,2045.00,45028304
FEOLAD,20090607,2100.00,2106.00,2045.00,2068.00,54450733
FEOLAD,20090608,2120.00,2130.00,2100.00,2108.00,4426340
FEOLAD,20090609,2171.00,2171.00,2171.00,2122.00,1426650
FEOLAD,20090610,2185.00,2185.00,2185.00,2156.00,3390211
FEOLAD,20090613,2169.00,2220.00,2100.00,2187.00,19189087
FEOLAD,20090614,2127.00,2164.00,2122.00,2122.00,22498389
FEOLAD,20090623,1699.000,1750.000,1661.000,1695.000,15236944
FEOLAD,20090624,1694.000,1697.000,1645.000,1684.000,2004220
FEOLAD,20090627,1634.00,1634.00,1634.00,1682.00,303429
FEOLAD,20090628,1632.00,1632.00,1632.00,1681.00,141435
FEOLAD,20090629,1631.00,1631.00,1631.00,1680.00,119199
FEOLAD,20090630,1630.00,1630.00,1630.00,1678.00,284910
FEOLAD,20090701,1628.00,1628.00,1628.00,1636.00,5353967
FEOLAD,20090704,1587.00,1587.00,1587.00,1590.00,5964072
FEOLAD,20090705,1543.000,1613.000,1543.000,1556.000,29690819
FEOLAD,20090707,1602.00,1602.00,1602.00,1585.00,3978507
FEOLAD,20090711,1603.00,1617.00,1550.00,1573.00,12457812
FEOLAD,20090712,1578.000,1579.000,1526.000,1529.000,8668889
FEOLAD,20090713,1543.000,1543.000,1484.000,1503.000,5017785
FEOLAD,20090714,1505.00,1539.00,1473.00,1497.00,8162902
FEOLAD,20090715,1520.00,1541.00,1496.00,1530.00,6649509
FEOLAD,20090718,1568.00,1575.00,1560.00,1541.00,1623278
FEOLAD,20090719,1587.00,1587.00,1587.00,1560.00,2636328
FEOLAD,20090721,1606.000,1606.000,1606.000,1589.000,4008096
