Symbol,DEven,PriceFirst,PriceMax,PriceMin,PClosing,QTotTran5J
SHIRAN,20080923,2.22,2.29,2.22,2.29,10010
SHIRAN,20080927,2.22,2.28,2.22,2.28,10010
SHIRAN,20080929,2.21,2.26,2.21,2.26,63078
SHIRAN,20081012,2.19,2.26,2.19,2.26,210
SHIRAN,20081014,2.19,2.23,2.19,2.23,108010
SHIRAN,20081026,2.16,2.22,2.16,2.22,15010
SHIRAN,20081101,2.15,2.15,2.15,2.15,1000
SHIRAN,20081103,2.09,2.15,2.09,2.15,1010
SHIRAN,20081104,2.09,2.15,2.09,2.15,1010
SHIRAN,20081105,2.09,2.15,2.09,2.15,2275
SHIRAN,20081111,2.09,2.15,2.09,2.15,260
SHIRAN,20081112,2.089,2.152,2.089,2.152,4540
SHIRAN,20081115,2.087,2.145,2.087,2.145,20010
SHIRAN,20081116,2.08,2.14,2.08,2.14,5010
SHIRAN,20081117,2.08,2.14,2.08,2.14,4010
SHIRAN,20081118,2.08,2.14,2.08,2.14,12010
SHIRAN,20081119,2.08,2.13,2.08,2.13,16410
SHIRAN,20081122,2.07,2.13,2.07,2.13,4924
SHIRAN,20081123,2.07,2.13,2.07,2.13,9510
SHIRAN,20081124,2.066,2.126,2.066,2.126,9510
SHIRAN,20081125,2.06,2.12,2.06,2.12,4510
SHIRAN,20081126,2.06,2.12,2.06,2.12,4510
SHIRAN,20081130,2.06,2.122,2.06,2.122,4510
SHIRAN,20081203,2.059,2.122,2.059,2.122,60
SHIRAN,20081216,2.06,2.06,2.06,2.12,21200
SHIRAN,20090105,2.05,2.05,2.05,2.11,3500
SHIRAN,20090111,2.05,2.05,2.05,2.11,5000
SHIRAN,20090112,2.05,2.05,2.05,2.11,1500
SHIRAN,20090114,2.049,2.049,2.049,2.111,4500
SHIRAN,20090119,2.05,2.05,2.05,2.11,9000
SHIRAN,20090120,2.05,2.05,2.05,2.11,1500
SHIRAN,20090203,2.045,2.045,2.045,2.108,500
SHIRAN,20090204,2.05,2.05,2.05,2.11,1000
SHIRAN,20090211,2.04,2.04,2.04,2.11,1000
SHIRAN,20090328,2.03,2.03,2.02,2.03,4000
SHIRAN,20090329,1.97,1.97,1.97,2.02,3000
SHIRAN,20090404,1.96,1.96,1.96,2.01,41000
SHIRAN,20090406,1.95,1.96,1.95,2.01,6792
SHIRAN,20090418,1.95,1.95,1.95,2.01,10
SHIRAN,20090420,1.95,1.95,1.95,2.01,18000
SHIRAN,20090427,1.95,1.95,1.95,2.01,2249
SHIRAN,20090509,1.95,1.95,1.95,2.01,100
SHIRAN,20090510,1.95,1.95,1.95,2,11000
SHIRAN,20090511,1.945,1.945,1.945,2.002,10
SHIRAN,20090518,1.942,1.942,1.942,2.002,500
SHIRAN,20090523,1.94,1.94,1.94,2,3920
SHIRAN,20090601,1.94,1.94,1.94,2,300
SHIRAN,20090602,1.94,1.95,1.94,1.99,23462
SHIRAN,20090609,1.94,1.94,1.94,1.99,2500
SHIRAN,20090614,1.95,1.95,1.95,1.99,10000
SHIRAN,20090620,1.95,1.95,1.95,1.99,510
SHIRAN,20090624,2.051,2.051,2.051,2.031,139000
SHIRAN,20090628,2.03,2.03,2.03,2.03,691
SHIRAN,20090629,2.03,2.09,2.03,2.04,36000
SHIRAN,20090630,2.1,2.1,2.1,2.039,112
SHIRAN,20090705,2.1,2.1,2.1,2.041,6000
SHIRAN,20090722,2.08,2.08,2.08,2.08,10000
SHIRAN,20090726,2.08,2.08,2.08,2.08,6380
SHIRAN,20090727,2.02,2.02,2.02,2.08,5000
SHIRAN,20090728,2.02,2.02,2.02,2.08,160
SHIRAN,20090729,2.019,2.019,2.019,2.08,150
SHIRAN,20090803,2.02,2.02,2.02,2.08,10050
SHIRAN,20090808,2.02,2.02,2.02,2.07,33095
SHIRAN,20090817,2.006,2.006,2.006,2.068,719
SHIRAN,20090824,2.01,2.01,2.01,2.07,3000
SHIRAN,20090830,2.01,2.01,2.01,2.06,8400
SHIRAN,20090923,2.13,2.13,2.13,2.07,30000
SHIRAN,20090928,2.14,2.14,2.14,2.07,320
SHIRAN,20090929,2.14,2.14,2.14,2.08,11100
SHIRAN,20091006,2.14,2.14,2.14,2.08,5867
SHIRAN,20091010,2.14,2.14,2.14,2.14,210693
SHIRAN,20091012,2.2,2.2,2.2,2.14,2786
SHIRAN,20091013,2.21,2.21,2.21,2.15,20000
SHIRAN,20091026,2.17,2.17,2.17,2.15,40217
SHIRAN,20091027,2.15,2.15,2.15,2.15,51139
SHIRAN,20091028,2.152,2.152,2.152,2.152,8500
SHIRAN,20091031,2.165,2.165,2.159,2.153,30000
SHIRAN,20091101,2.22,2.22,2.22,2.17,59743
SHIRAN,20091103,2.18,2.18,2.18,2.17,885
SHIRAN,20091107,2.18,2.18,2.18,2.17,5
SHIRAN,20091108,2.23,2.23,2.23,2.17,10000
SHIRAN,20091109,2.25,2.25,2.25,2.18,5000
SHIRAN,20091110,2.25,2.25,2.25,2.18,5000
SHIRAN,20091202,2.254,2.254,2.254,2.179,2435
SHIRAN,20091205,2.26,2.26,2.26,2.18,3000
SHIRAN,20091209,2.26,2.26,2.26,2.18,59
SHIRAN,20091215,2.257,2.257,2.257,2.181,80
SHIRAN,20091216,2.257,2.257,2.257,2.186,14220
SHIRAN,20091220,2.26,2.26,2.26,2.19,3000
SHIRAN,20091221,2.25,2.25,2.25,2.19,8047
SHIRAN,20091222,2.27,2.27,2.27,2.2,26112
SHIRAN,20091223,2.28,2.28,2.28,2.2,10000
SHIRAN,20091228,2.279,2.279,2.279,2.223,56112
