Symbol,DEven,PriceFirst,PriceMax,PriceMin,PClosing,QTotTran5J
HAMRAH,20101219,1066.11,1066.11,1066.11,1066.11,112590000
HAMRAH,20101220,1114.08,1114.08,1114.08,1114.08,274075
HAMRAH,20101221,1155.35,1164.44,1136.13,1163.2,28532764
HAMRAH,20101222,1163.2,1171.83,1136.13,1158.95,7198250
HAMRAH,20101225,1144.5,1157.49,1138.93,1148.29,2460574
HAMRAH,20101226,1155.35,1159.44,1142.72,1150.38,2142528
HAMRAH,20101227,1144.37,1149.78,1115.53,1128.41,2284484
HAMRAH,20101228,1111.69,1122.37,1096.31,1105.95,2640476
HAMRAH,20101229,1102.16,1147.09,1102.16,1135.96,2040910
HAMRAH,20110101,1138.88,1149.58,1125.2,1131.16,1300871
HAMRAH,20110102,1129.24,1141.57,1123.69,1136.38,1171093
HAMRAH,20110103,1136.129,1167.434,1136.129,1157.768,2642975
HAMRAH,20110104,1169.081,1204.367,1169.081,1192.093,3391433
HAMRAH,20110105,1204.78,1246.3,1204.78,1228.61,2893842
HAMRAH,20110108,1213.02,1218.45,1203.41,1206.67,2030510
HAMRAH,20110109,1205,1231.91,1204.83,1218.7,1192326
HAMRAH,20110110,1221.39,1245.97,1196.62,1220.95,4325751
HAMRAH,20110111,1203.41,1236.33,1203.41,1212.63,450750
HAMRAH,20110220,1232.29,1314.34,1232.29,1284.44,5966453
HAMRAH,20110222,1278.921,1308.578,1276.724,1289.109,1688907
HAMRAH,20110223,1287.16,1306.38,1283.04,1300.5,1318087
HAMRAH,20110226,1302.26,1339.33,1302.26,1321.1,1405103
HAMRAH,20110227,1321.511,1336.559,1321.511,1330.683,699515
HAMRAH,20110228,1331.095,1331.095,1303.855,1313.548,420132
HAMRAH,20110301,1309.13,1309.13,1273.46,1282.79,1936494
HAMRAH,20110302,1287.19,1309.13,1287.16,1287.93,21656689
HAMRAH,20110305,1295.37,1304.98,1289.9,1290.45,7353063
HAMRAH,20110306,1294.57,1298.14,1289.9,1292.76,335143
HAMRAH,20110307,1289.905,1295.397,1287.955,1290.18,615783
HAMRAH,20110308,1294.02,1300.89,1290.21,1294.77,1277853
HAMRAH,20110309,1300.89,1327.8,1300.89,1304.16,15824245
HAMRAH,20110312,1317.337,1325.575,1314.097,1315.113,4687462
HAMRAH,20110313,1315.5,1339.33,1315.5,1322.25,2475765
HAMRAH,20110314,1333.84,1365.36,1320.66,1322.31,36437626
HAMRAH,20110315,1369.54,1383.1,1369.54,1382.34,1924631
HAMRAH,20110316,1424.46,1440.85,1424.46,1437.04,1182676
HAMRAH,20110319,1450.33,1478.55,1435.72,1454.53,1739228
HAMRAH,20110326,1465.62,1521.91,1453.37,1507.36,423313
HAMRAH,20110327,1561.79,1577.38,1512.33,1543.91,1238816
HAMRAH,20110328,1517.82,1534.27,1506.84,1523.15,2469722
HAMRAH,20110329,1534.3,1548.03,1479.38,1529.38,1015917
HAMRAH,20110330,1534.27,1534.27,1493.11,1504.72,851203
HAMRAH,20110403,1501.35,1504.04,1482.12,1489.62,555333
HAMRAH,20110404,1482.674,1548.028,1482.674,1535.369,1615659
HAMRAH,20110405,1558.463,1566.975,1535.754,1556.376,1459095
HAMRAH,20110406,1559.01,1589.22,1537.1,1554.45,2593832
HAMRAH,20110409,1575.49,1589.19,1482.12,1545.53,1776100
HAMRAH,20110410,1540.59,1540.59,1485.2,1508.29,1037412
HAMRAH,20110411,1495.58,1537.04,1495.58,1518.45,648877
HAMRAH,20110412,1506.84,1548,1501.35,1534,1592438
HAMRAH,20110413,1561.76,1586.47,1548.63,1559.75,1373149
HAMRAH,20110416,1559.753,1575.488,1531.25,1539.049,648374
HAMRAH,20110417,1548.3,1561.76,1545.28,1555.41,1679104
HAMRAH,20110418,1556.32,1561.76,1548.03,1556.65,1129095
HAMRAH,20110419,1559.012,1561.676,1521.694,1536.522,578887
HAMRAH,20110420,1556.184,1556.184,1536.522,1541.493,761623
HAMRAH,20110423,1548.03,1567.25,1542.54,1557.23,1502854
HAMRAH,20110424,1556.35,1561.73,1542.62,1553.08,2735121
HAMRAH,20110502,1369.54,1384.64,1320.41,1349.49,12250362
HAMRAH,20110503,1342.08,1342.08,1287.35,1301.71,4647241
HAMRAH,20110504,1314.619,1342.298,1314.619,1325.713,17828724
HAMRAH,20110508,1324.23,1324.23,1273.43,1279.83,1352896
HAMRAH,20110509,1293.2,1328.35,1293.2,1312.7,285829
HAMRAH,20110510,1336.559,1336.559,1287.159,1301.273,367966
HAMRAH,20110511,1314.29,1314.29,1285.79,1287.27,983211
HAMRAH,20110514,1287.16,1289.9,1278.95,1286.8,257582
HAMRAH,20110515,1287.19,1289.58,1273.46,1284.61,526219
HAMRAH,20110516,1273.46,1278.1,1225.7,1246.79,1859847
HAMRAH,20110517,1226.72,1267.94,1226.06,1260.25,394295
HAMRAH,20110518,1270.68,1300.86,1270.68,1285.73,322804
HAMRAH,20110521,1287.16,1289.9,1262.72,1273.65,306090
HAMRAH,20110522,1283.04,1283.04,1259.7,1265.85,752651
HAMRAH,20110523,1273.4,1273.4,1259.7,1263.32,417943
HAMRAH,20110524,1263.82,1287.16,1262.91,1276.5,431180
HAMRAH,20110525,1273.43,1273.43,1254.29,1257.75,605048
HAMRAH,20110528,1235.122,1259.699,1235.122,1251.022,694405
HAMRAH,20110529,1232.239,1232.294,1215.818,1220.047,1487260
HAMRAH,20110530,1205.36,1267.94,1205.36,1240.81,322549
HAMRAH,20110531,1273.43,1275.9,1259.78,1268.82,265309
HAMRAH,20110601,1265.22,1273.43,1248.17,1264.45,353084
HAMRAH,20110606,1257.12,1270.16,1257.12,1261.95,441165
HAMRAH,20110607,1249.1,1270.66,1249.1,1259.97,605916
HAMRAH,20110608,1267.94,1273.29,1256.95,1263.98,201226
HAMRAH,20110611,1270.656,1270.683,1251.653,1258.079,559823
HAMRAH,20110612,1259.7,1267.94,1252.92,1257.53,490736
HAMRAH,20110613,1267.5,1267.5,1253.69,1260.33,360983
HAMRAH,20110614,1259.672,1267.937,1259.672,1260.743,237169
HAMRAH,20110615,1259.699,1263.818,1252.916,1259.013,111691
HAMRAH,20110618,1267.94,1267.94,1259.73,1264.94,71531
HAMRAH,20110619,1262.55,1272.06,1257.72,1261.37,165647
HAMRAH,20110620,1257.12,1267.94,1257.09,1260.08,176116
HAMRAH,20110621,1257.09,1265.19,1257.01,1259.89,427281
HAMRAH,20110622,1257.502,1263.818,1257.502,1260.331,68567
HAMRAH,20110625,1259.7,1259.73,1256.98,1259.62,78950
HAMRAH,20110626,1259.62,1259.67,1221.26,1254.98,437878
