Symbol,DEven,PriceFirst,PriceMax,PriceMin,PClosing,QTotTran5J
VATOOSHE,20080820,52.47,52.47,52.47,52.47,100
VATOOSHE,20080823,50.92,50.92,50.92,50.92,100
VATOOSHE,20080824,49.4,50.82,49.4,50.82,10010
VATOOSHE,20080826,49.3,50.31,49.3,50.31,53621
VATOOSHE,20080909,55.00,76.2,45.00,54.5,263100
VATOOSHE,20080910,52.9,54.4,52.9,54.4,170164
VATOOSHE,20080913,52.8,54.3,52.8,54.3,12510
VATOOSHE,20080916,52.7,54.1,52.7,54.1,30010
VATOOSHE,20080917,52.5,54.05,52.5,54.05,5010
VATOOSHE,20080920,52.45,53.95,52.45,53.95,11455
VATOOSHE,20080921,52.35,53.9,52.35,53.9,5010
VATOOSHE,20080924,52.3,53.500,52.3,53.500,57010
VATOOSHE,20080929,51.9,53.500,51.9,53.500,2879
VATOOSHE,20080930,51.9,53.5,51.9,53.5,955
VATOOSHE,20081006,51.9,53.5,51.9,53.5,485
VATOOSHE,20081014,51.9,53.45,51.9,53.45,4802
VATOOSHE,20081126,51.85,53.45,51.85,53.45,210
VATOOSHE,20081203,51.85,53.45,51.85,53.45,210
VATOOSHE,20081210,51.85,51.85,51.85,53.45,200
VATOOSHE,20081215,51.850,51.850,51.850,52.850,90145
VATOOSHE,20081216,51.85,51.85,51.85,52.8,9855
VATOOSHE,20081220,51.25,51.25,51.25,52.8,117
VATOOSHE,20090105,51.250,51.250,51.250,52.8,110
VATOOSHE,20090119,51.250,51.250,51.250,52.8,2130
VATOOSHE,20090124,51.25,51.25,51.25,52.8,200
VATOOSHE,20090128,51.25,51.25,51.25,52.8,200
VATOOSHE,20090201,51.25,51.25,51.25,52.8,163
VATOOSHE,20090202,51.25,51.25,51.25,52.8,1370
VATOOSHE,20090204,51.250,51.250,51.250,52.8,200
VATOOSHE,20090208,51.25,51.25,51.25,52.8,2910
VATOOSHE,20090215,51.25,51.25,51.25,52.8,200
VATOOSHE,20090222,51.250,51.250,51.250,52.8,200
VATOOSHE,20090301,51.25,51.25,51.25,52.8,200
VATOOSHE,20090304,51.25,51.25,51.25,52.8,228
VATOOSHE,20090307,51.25,51.25,51.25,52.8,100
VATOOSHE,20090310,51.25,51.25,51.25,52.8,2340
VATOOSHE,20090311,51.25,51.25,51.25,52.65,20000
VATOOSHE,20090314,51.1,51.1,51.1,52.65,200
VATOOSHE,20090317,51.1,51.1,51.1,52.65,200
VATOOSHE,20090318,51.1,51.1,51.1,52.65,535
VATOOSHE,20090405,51.1,51.1,51.1,52.65,200
VATOOSHE,20090408,51.1,51.1,51.1,52.65,200
VATOOSHE,20090412,51.1,51.1,51.1,52.65,200
VATOOSHE,20090413,51.100,51.100,51.100,52.65,50
VATOOSHE,20090414,51.100,51.100,51.100,52.65,200
VATOOSHE,20090419,51.1,51.1,51.1,52.65,200
VATOOSHE,20090422,51.1,51.1,51.1,52.65,200
VATOOSHE,20090427,51.1,51.1,51.1,52.65,200
VATOOSHE,20090502,51.1,51.1,51.1,52.65,200
VATOOSHE,20090505,51.1,51.1,51.1,52.65,200
VATOOSHE,20090510,51.1,51.1,51.1,52.65,200
VATOOSHE,20090516,51.100,51.100,51.100,52.65,200
VATOOSHE,20090519,51.1,51.1,51.1,52.6,6000
VATOOSHE,20090520,51.05,51.05,51.05,52.6,1048
VATOOSHE,20090523,51.05,51.05,51.05,52.500,11943
VATOOSHE,20090525,50.950,50.950,50.950,52.450,7273
VATOOSHE,20090526,50.9,50.9,50.9,52.45,1400
VATOOSHE,20090527,50.9,50.9,50.9,52.35,14615
VATOOSHE,20090530,50.8,50.8,50.8,52.3,8938
VATOOSHE,20090531,50.75,50.75,50.75,52.25,8920
VATOOSHE,20090601,50.700,50.700,50.700,52.200,5000
VATOOSHE,20090602,50.65,50.65,50.65,52.15,5626
VATOOSHE,20090603,50.6,50.6,50.6,51.7,68346
VATOOSHE,20090606,50.15,50.200,50.15,50.950,116259
VATOOSHE,20090607,49.45,49.45,49.45,50.55,60000
VATOOSHE,20090608,49.45,50.6,49.45,50.45,132204
VATOOSHE,20090609,50.6,50.65,50.6,50.45,27187
VATOOSHE,20090610,50.65,50.65,50.65,50.5,70000
VATOOSHE,20090614,49.00,49.00,49.00,50.15,55426
VATOOSHE,20090616,48.65,48.65,48.65,50.15,500
VATOOSHE,20090617,48.65,48.65,48.65,50.00,25500
VATOOSHE,20090620,48.5,48.5,48.5,49.85,21551
VATOOSHE,20090621,48.4,48.4,48.4,49.75,20000
VATOOSHE,20090623,48.3,48.3,48.3,49.75,100
VATOOSHE,20090624,48.3,48.3,48.3,49.25,81544
VATOOSHE,20090712,50.65,50.65,50.55,50.65,21000
VATOOSHE,20090713,49.250,52.100,49.15,50.750,76908
VATOOSHE,20090721,45.00,51.00,45.00,49.8,180000
VATOOSHE,20090809,48.35,48.35,48.35,49.8,1682
VATOOSHE,20090811,48.35,48.35,48.35,49.75,10000
VATOOSHE,20090926,48.3,48.3,48.3,49.75,514
VATOOSHE,20090927,48.3,48.3,48.3,49.7,10000
VATOOSHE,20090928,48.25,48.25,48.25,48.25,150
VATOOSHE,20090929,46.850,46.9,46.850,46.850,1343881
VATOOSHE,20090930,48.25,48.25,48.2,46.9,11530
VATOOSHE,20091003,48.2,48.3,48.2,47.65,127680
