Symbol,DEven,PriceFirst,PriceMax,PriceMin,PClosing,QTotTran5J
VATOOSHE,20080820,1622.00,1622.00,1622.00,1622.00,100
VATOOSHE,20080823,1574.00,1574.00,1574.00,1574.00,100
VATOOSHE,20080824,1527.00,1571.00,1527.00,1571.00,10010
VATOOSHE,20080826,1524.00,1555.00,1524.00,1555.00,53621
VATOOSHE,20080909,1100.00,1524.00,900.00,1090.00,263100
VATOOSHE,20080910,1058.00,1088.00,1058.00,1088.00,170164
VATOOSHE,20080913,1056.00,1086.00,1056.00,1086.00,12510
VATOOSHE,20080916,1054.00,1082.00,1054.00,1082.00,30010
VATOOSHE,20080917,1050.00,1081.00,1050.00,1081.00,5010
VATOOSHE,20080920,1049.00,1079.00,1049.00,1079.00,11455
VATOOSHE,20080921,1047.00,1078.00,1047.00,1078.00,5010
VATOOSHE,20080924,1046.000,1070.000,1046.000,1070.000,57010
VATOOSHE,20080929,1038.000,1070.000,1038.000,1070.000,2879
VATOOSHE,20080930,1038.00,1070.00,1038.00,1070.00,955
VATOOSHE,20081006,1038.00,1070.00,1038.00,1070.00,485
VATOOSHE,20081014,1038.00,1069.00,1038.00,1069.00,4802
VATOOSHE,20081126,1037.00,1069.00,1037.00,1069.00,210
VATOOSHE,20081203,1037.00,1069.00,1037.00,1069.00,210
VATOOSHE,20081210,1037.00,1037.00,1037.00,1069.00,200
VATOOSHE,20081215,1037.000,1037.000,1037.000,1057.000,90145
VATOOSHE,20081216,1037.00,1037.00,1037.00,1056.00,9855
VATOOSHE,20081220,1025.00,1025.00,1025.00,1056.00,117
VATOOSHE,20090105,1025.000,1025.000,1025.000,1056.000,110
VATOOSHE,20090119,1025.000,1025.000,1025.000,1056.000,2130
VATOOSHE,20090124,1025.00,1025.00,1025.00,1056.00,200
VATOOSHE,20090128,1025.00,1025.00,1025.00,1056.00,200
VATOOSHE,20090201,1025.00,1025.00,1025.00,1056.00,163
VATOOSHE,20090202,1025.00,1025.00,1025.00,1056.00,1370
VATOOSHE,20090204,1025.000,1025.000,1025.000,1056.000,200
VATOOSHE,20090208,1025.00,1025.00,1025.00,1056.00,2910
VATOOSHE,20090215,1025.00,1025.00,1025.00,1056.00,200
VATOOSHE,20090222,1025.000,1025.000,1025.000,1056.000,200
VATOOSHE,20090301,1025.00,1025.00,1025.00,1056.00,200
VATOOSHE,20090304,1025.00,1025.00,1025.00,1056.00,228
VATOOSHE,20090307,1025.00,1025.00,1025.00,1056.00,100
VATOOSHE,20090310,1025.00,1025.00,1025.00,1056.00,2340
VATOOSHE,20090311,1025.00,1025.00,1025.00,1053.00,20000
